delay_time:  3, weight:  2, carnum:  2000, Final res:  354, Final time: 22.132360999999946 Seconds(deadlock time:   1)
delay_time:  3, weight:  2, carnum:  3000, Final res:  373, Final time: 37.435923 Seconds(deadlock time:   7)
delay_time:  3, weight:  2, carnum:  4000, Final res:  396, Final time: 58.96178800000007 Seconds(deadlock time:  60)
delay_time:  3, weight:  2, carnum:  5000, Final res:  431, Final time: 158.99160200000006 Seconds(deadlock time: 654)
delay_time:  3, weight:  3, carnum:  1000, Final res:  503, Final time: 16.315566999999646 Seconds(deadlock time:   0)
delay_time:  3, weight:  3, carnum:  2000, Final res:  369, Final time: 22.731599999999617 Seconds(deadlock time:   0)
delay_time:  3, weight:  3, carnum:  3000, Final res:  365, Final time: 37.46228500000052 Seconds(deadlock time:   0)
delay_time:  3, weight:  3, carnum:  4000, Final res:  388, Final time: 59.38366100000076 Seconds(deadlock time:  61)
delay_time:  3, weight:  3, carnum:  5000, Final res:  429, Final time: 138.9171980000001 Seconds(deadlock time: 517)
delay_time:  3, weight:  4, carnum:  1000, Final res:  504, Final time: 16.68891900000017 Seconds(deadlock time:   0)
delay_time:  3, weight:  4, carnum:  2000, Final res:  359, Final time: 22.478141999999934 Seconds(deadlock time:   0)
delay_time:  3, weight:  4, carnum:  3000, Final res:  379, Final time: 36.569016000000374 Seconds(deadlock time:   3)
delay_time:  3, weight:  4, carnum:  4000, Final res:  402, Final time: 64.31792000000041 Seconds(deadlock time: 126)
delay_time:  3, weight:  4, carnum:  5000, Final res:  432, Final time: 183.72333999999955 Seconds(deadlock time: 871)
delay_time:  3, weight:  5, carnum:  1000, Final res:  509, Final time: 16.726298999999926 Seconds(deadlock time:   0)
delay_time:  3, weight:  5, carnum:  2000, Final res:  362, Final time: 22.71773899999971 Seconds(deadlock time:   0)
delay_time:  3, weight:  5, carnum:  3000, Final res:  393, Final time: 37.51829799999996 Seconds(deadlock time:  12)
delay_time:  3, weight:  5, carnum:  4000, Final res:  399, Final time: 59.05857699999979 Seconds(deadlock time:  69)
delay_time:  3, weight:  5, carnum:  5000, Final res:  432, Final time: 181.38466400000016 Seconds(deadlock time: 861)
delay_time:  4, weight:  1, carnum:  1000, Final res:  477, Final time: 15.349251999999979 Seconds(deadlock time:   0)
delay_time:  4, weight:  1, carnum:  2000, Final res:  377, Final time: 22.040171999999984 Seconds(deadlock time:   0)
delay_time:  4, weight:  1, carnum:  3000, Final res:  383, Final time: 35.03601299999991 Seconds(deadlock time:   4)
delay_time:  4, weight:  1, carnum:  4000, Final res:  413, Final time: 62.79654600000049 Seconds(deadlock time: 139)
delay_time:  4, weight:  1, carnum:  5000, Final res:  425, Final time: 152.30232100000012 Seconds(deadlock time: 715)
delay_time:  4, weight:  2, carnum:  1000, Final res:  486, Final time: 15.927982000000156 Seconds(deadlock time:   0)
delay_time:  4, weight:  2, carnum:  2000, Final res:  353, Final time: 22.116562000000158 Seconds(deadlock time:   0)
delay_time:  4, weight:  2, carnum:  3000, Final res:  353, Final time: 34.4785380000003 Seconds(deadlock time:   4)
delay_time:  4, weight:  2, carnum:  4000, Final res:  394, Final time: 66.76010299999962 Seconds(deadlock time: 152)
delay_time:  4, weight:  2, carnum:  5000, Final res:  443, Final time: 127.52260999999999 Seconds(deadlock time: 452)
delay_time:  4, weight:  3, carnum:  1000, Final res:  488, Final time: 16.172676999999567 Seconds(deadlock time:   0)
delay_time:  4, weight:  3, carnum:  2000, Final res:  374, Final time: 22.15055400000074 Seconds(deadlock time:   2)
delay_time:  4, weight:  3, carnum:  3000, Final res:  380, Final time: 35.68113699999958 Seconds(deadlock time:   1)
delay_time:  4, weight:  3, carnum:  4000, Final res:  381, Final time: 59.57361399999991 Seconds(deadlock time:  98)
delay_time:  4, weight:  3, carnum:  5000, Final res:  416, Final time: 168.86936699999933 Seconds(deadlock time: 824)
delay_time:  4, weight:  4, carnum:  1000, Final res:  491, Final time: 16.462219000000005 Seconds(deadlock time:   0)
delay_time:  4, weight:  4, carnum:  2000, Final res:  355, Final time: 22.642649999999776 Seconds(deadlock time:   0)
delay_time:  4, weight:  4, carnum:  3000, Final res:  358, Final time: 34.58158600000024 Seconds(deadlock time:   0)
delay_time:  4, weight:  4, carnum:  4000, Final res:  386, Final time: 60.518480000000636 Seconds(deadlock time: 111)
delay_time:  4, weight:  4, carnum:  5000, Final res:  423, Final time: 164.1355309999999 Seconds(deadlock time: 789)
delay_time:  4, weight:  5, carnum:  1000, Final res:  498, Final time: 16.387684999999692 Seconds(deadlock time:   0)
delay_time:  4, weight:  5, carnum:  2000, Final res:  362, Final time: 22.44966299999942 Seconds(deadlock time:   0)
delay_time:  4, weight:  5, carnum:  3000, Final res:  373, Final time: 34.582744999999704 Seconds(deadlock time:   6)
delay_time:  4, weight:  5, carnum:  4000, Final res:  390, Final time: 60.693333999999595 Seconds(deadlock time: 116)
delay_time:  4, weight:  5, carnum:  5000, Final res:  453, Final time: 127.10712499999954 Seconds(deadlock time: 470)
delay_time:  5, weight:  1, carnum:  1000, Final res:  465, Final time: 15.603329999999914 Seconds(deadlock time:   0)
delay_time:  5, weight:  1, carnum:  2000, Final res:  371, Final time: 22.266334999999344 Seconds(deadlock time:   0)
delay_time:  5, weight:  1, carnum:  3000, Final res:  374, Final time: 34.082525999999234 Seconds(deadlock time:   2)
delay_time:  5, weight:  1, carnum:  4000, Final res:  397, Final time: 72.93292399999973 Seconds(deadlock time: 238)
delay_time:  5, weight:  1, carnum:  5000, Final res:  429, Final time: 193.39747199999965 Seconds(deadlock time: 1098)
delay_time:  5, weight:  2, carnum:  1000, Final res:  474, Final time: 15.716017999999167 Seconds(deadlock time:   0)
delay_time:  5, weight:  2, carnum:  2000, Final res:  359, Final time: 22.264560999999958 Seconds(deadlock time:   2)
delay_time:  5, weight:  2, carnum:  3000, Final res:  355, Final time: 34.69271300000037 Seconds(deadlock time:   6)
delay_time:  5, weight:  2, carnum:  4000, Final res:  400, Final time: 59.8039490000001 Seconds(deadlock time: 106)
delay_time:  5, weight:  2, carnum:  5000, Final res:  406, Final time: 204.49342400000023 Seconds(deadlock time: 1178)
delay_time:  5, weight:  3, carnum:  1000, Final res:  489, Final time: 16.45125999999982 Seconds(deadlock time:   0)
delay_time:  5, weight:  3, carnum:  2000, Final res:  369, Final time: 22.222279999999955 Seconds(deadlock time:   0)
delay_time:  5, weight:  3, carnum:  3000, Final res:  352, Final time: 35.07496199999969 Seconds(deadlock time:   3)
delay_time:  5, weight:  3, carnum:  4000, Final res:  390, Final time: 56.99764800000048 Seconds(deadlock time:  58)
delay_time:  5, weight:  3, carnum:  5000, Final res:  418, Final time: 168.31539599999996 Seconds(deadlock time: 852)
delay_time:  5, weight:  4, carnum:  1000, Final res:  484, Final time: 16.259538999999677 Seconds(deadlock time:   0)
delay_time:  5, weight:  4, carnum:  2000, Final res:  359, Final time: 22.4870149999997 Seconds(deadlock time:   0)
delay_time:  5, weight:  4, carnum:  3000, Final res:  363, Final time: 34.833865999999944 Seconds(deadlock time:   1)
delay_time:  5, weight:  4, carnum:  4000, Final res:  402, Final time: 57.555271000000175 Seconds(deadlock time:  56)
delay_time:  5, weight:  4, carnum:  5000, Final res:  445, Final time: 141.81750399999964 Seconds(deadlock time: 589)
delay_time:  5, weight:  5, carnum:  1000, Final res:  501, Final time: 16.65476799999942 Seconds(deadlock time:   0)
delay_time:  5, weight:  5, carnum:  2000, Final res:  389, Final time: 22.22182200000043 Seconds(deadlock time:   0)
delay_time:  5, weight:  5, carnum:  3000, Final res:  392, Final time: 35.248131999999714 Seconds(deadlock time:   0)
delay_time:  5, weight:  5, carnum:  4000, Final res:  387, Final time: 58.31348600000001 Seconds(deadlock time:  82)
delay_time:  5, weight:  5, carnum:  5000, Final res:  429, Final time: 146.881171 Seconds(deadlock time: 647)
